ticker,mean_absolute_error,r2_score
AFLT,0.1830584196075988,0.9995561014399683
ALRS,0.4428067733450844,0.9991856093339897
GAZP,1.0761971041721061,0.9989444379945562
GMKN,78.98456453848007,0.9987802317396153
HYDR,0.0024685250814898765,0.9898733269897054
IRAO,0.015337971927574183,0.999044078462003
LKOH,21.642807830575194,0.9983903179540801
MGNT,20.415010820011247,0.9957202325916908
MOEX,0.5106795127103749,0.9993769298242466
MTLR,0.9814610890127456,0.9970924047775135
MTSS,0.8559207200391131,0.9986346365723576
NLMK,0.8091390881379036,0.9992880550580975
ROSN,1.9607502209190235,0.9989130872483817
RTSI,5.5766773527458735,0.9992322551916639
SBER,0.8998364210741687,0.9996298202281346
SNGS,0.1460097166321272,0.9981562140170162
VTBR,0.0001948636330369199,0.9993195572338199
YNDX,17.30286531172026,0.9996663424196567
